9496	USBR Leadville
9497	USBR Twin Lakes
9498	USBR Meredith
8383	USFW 1
8385	USFW 2
1260	USFW RMA NWR
1230	USFS Statewide
1231	USFS NE
1232	USFS SE
8375	USFS NW
8376	USFS SW
4952	USAFA ER
2734	CO CAP 1
2744	CO CAP 2
4951	Fort Carson ACH
1228	BSFB Hawk 1
1229	BSFB Hawk 2
1246	BSFB OSI
1247	BSFB Security
1248	BSFB EOC
53	Adams Co MAC
75	Mountain Ridge
8088	ARCC 3 PD
8090	ARCC 5 SLV FD
8091	ARCC 6 Incident
8180	AlamosaCo MAC
8181	AlamosaCo Fire E
8182	AlamosaCo Tac E
8183	AlamosaCo Fire W
8184	AlamosaCo Tac W
8192	AlamosaCo SO Det
8193	AlamosaCo SO Tac
8196	SLV Hazmat
8199	AlamosaCo SO 1
8202	Sangre Schools
8087	Alamosa PD Disp
8151	Alamosa Hospital
8185	Alamosa FD Tac
8189	Alamosa PD Tac 1
8195	Alamosa PD Tac 2
8200	Alamosa Sch Admn
8201	Alamosa Sch Bus
8186	Mosca FD Tac
8187	Mosca/Hooper FD
3001	ArphoeSO 1
3002	ArphoeSO 2
3003	ArphoeSO 3
3004	ArphoeSO 4
3005	ArphoeSO 5
3007	ArphoeSO 6
3013	ArphoeSO Supv
3009	ArphoeSO Inv1
3010	ArphoeSO Inv2
3082	ArphoeSO Trn1
3083	ArphoeSO Trn2
3014	ArphoeSO Cmnd
3080	ArphoeSO PIT
3081	ArphoeSO PIT
3084	ArphoeSO Civil
3085	ArphoeSO Warrant
3086	ArphoeSO Inv
3087	ArphoeSO SWAT
3011	ArphoeSO Det1
3012	ArphoeSO Det2
3008	ArphoeCo Travel
3032	ArphoeSO ACO
3058	BwMr/ColPD
3071	ArphoeCo VFD E1
3072	ArphoeCo VFD E2
3006	ArphoeCo EOC
3062	ArphoeCo ResPtrl
3017	ArphoeCo RB West
3033	ArphoeCo RB East
3067	ArphoeCo RB EFlg
3074	ArphoeCo RB WFlg
3018	ArphoeCo Engr
3046	ArphoeCo Bulding
3016	ArphoeCo Bld Mtc
3015	ArphoeCo Clerk
3045	ArphoeCo Clerk 2
3063	ArphoeCo YouthSv
3090	CCSch Maintenanc
3091	CCSch West Trans
3092	CCSch Bus
3093	CCSch East Trans
3094	CCSch Securty
3095	CCSch Emerg Ops
3096	CCSch Cmnd 1
69	Children's Hosp
74	Med Cntr Aurora
85	UCHealth Aurora
138	MC Aurora North
146	Spalding Aurora
176	SpaldingAlvarado
180	UCHealthPavilion
3073	Byers Fire
3054	Byers Schools
2994	Cent Court Sec
2995	Cent DPW
3064	Cent Airport 1
3065	Cent Airport 2
3066	Cent Airport 3
3047	Cent South Parks
3089	Cent ACO
3059	Cherry Hills PD1
3060	Cherry Hills PD2
3061	Cherry Hills DPW
88	Swedish SW ER
3075	Englewood PD 1
3076	Englewood PD 2
2990	Englewood PD SA1
2991	Englewood PD SA2
3079	Englewood PD SA3
3077	Englewood FD 1
3078	Englewood FD 2
118	Craig Hospital
84	Swedish Med Cntr
2981	EnglewoodSchools
3027	Glendale PD 1
3028	Glendale PD 2
3034	Glendale PD Supv
3029	Glendale PW 1
3031	Glendale PW 2
3019	GrnwdVlg PD 1
3020	GrnwdVlg PD 2
3025
3021	GnwdVlg PD Det
3022	GnwdVlg PD Sup
3023	GnwdVlg PD Admin
3024	GrnwdVlg DPW
3026	GrnwdVlg City Ad
3035	GrnwdVlg Fleet
3037	GrnwdVlg DPW SPO
3038	GrnwdVlg Enginer
3039	GrnwdVlg Buildg
3036	GrnwdVlg Parks
71	Littleton Hosp
2985	Littleton Util 1
2986	Littleton Util 2
2989	Littleton Train
3040	Littleton PD 1
3041	Littleton PD 2
3042	Littleton PD 3
3043	Littleton PD Det
3044	Littleton PD Vol
3048	ACC Police 1
3049	ACC Police 2
3050	Littleton SchBus
3051	Littleton SchSec
3052	Littleton SchAdm
3053	Littleton SchPrn
3055	Littleton Sch MX
3056	Littleton SchTec
3057	Littleton SchEng
3088	Littleton DPW
2151	Sheridan PD 1
2153	Sheridan PD 2
2155	Sheridan PD 3
2157	Sheridan PD 4
2161	Sheridan PD Spc1
2165	Sheridan PD Spc2
2159	Sheridan FD
2163	Sheridan Schools
39	EMetro Disp
40	EMetro Ops 1
4121	EMetro Ops 2
4148	EMetro Ops 3
4149	EMetro Ops 4
42	EMetro Admn
4150	EMetro Trng 1
41	EMetro Trng 2
1786	SMF 1 AVD
1792	SMF 2 Dispatch
1787	SMF Ops 3
1788	SMF Ops 5
1789	SMF Ops 7
1790	SMF Ops 9
1851	SMF Ops 11
1857	SMF Ops 12
1859	SMF Ops 13
1046	SMF Ops 14
1793	SMF Blue 15
2998	SMF Blue 16
1048	SMF Ops 17
2996	SMF Ops 18
2997	SMF Ops 19
1049	SMF IDT 1
1047	SMF IDT 2
8680	ArchuletaCo MAC
8693	ArchuletaCo Tac1
8697	ArchuletaCo Tac2
8688	Archuleta SO
8681	Pagosa FD1
8691	Pagosa FD2
8685	PagosaSpg EMS
8690	ArchuletaCo SAR
8694	ArchuletaCo Arpt
8695	ArchuletaCo R&B
8696	ArchuletaCo Sch
8700	ArchuletaCo Trvl
8701	ArchuletaCo Bus
8683
8687
349	Baca Co MAC
344	Baca Co LE 1
345	Baca Co LE 2
346	Baca Co LE 3
348	Baca Co R&B 1
356	Baca Co R&B 2
357	Baca Co R&B 3
355	Baca Co Ops 1
362	Baca Co Ops 2
358	Baca Co Comsnr
361	Two Buttes FPD
359	Pritchett FD
360	Vilas FD
353	Walsh FD/EMS
352	Campo Fire
143	Southeast Hosp
347	Sprngfld PD 2
350	Sprngfld Loc Gov
351	Sprngfld FD
354	Sprngfld EMS
273	Bent Co MAC
274	Bent Co LE
204	Bent Co SO Tac
203	Bent Co EMS
269	Hsty/McClv FD
270	Hsty/McClv FD Tc
271	Bent Co R&B
275	Bent Co SchnBus
207	Las Animas PD
208	Las Animas PD Tc
214	Las Animas FD
215	Las Animas FD Tc
272	Las Animas LocGv
9100	BoulderCo LE1
9101	BoulderCo LE2
9573	BoulderCo LE3
9566	BoulderCo LTAC11
9567	BoulderCo LTAC12
9568	BoulderCo LTAC13
9569	BoulderCo LTAC14
9570	BoulderCo LTAC15
9571	BoulderCo LE Rec
9110	BoulderCo MAC
9593	BC Drone TAC
9104	BoulderCo FIRE 1
9108	BoulderCo FIRE 2
9105	BoulderCo Hazmat
9106	BoulderCo FTAC17
9579	BoulderCo FTAC11
9580	BoulderCo FTAC12
9581	BoulderCo FTAC13
9582	BoulderCo FTAC14
9583	BoulderCo FTAC15
9584	BoulderCo FTAC16
9102	BoulderCo Jail
9103	BoulderCo Travel
9107	BoulderCo OEM
9109	BoulderCo Techs
9545	BoulderCo Land
9574	Hygiene FD Tac2
9585	BoulderCo SAR 1
9586	BoulderCo SAR 2
9588	BoulderCo 9588
9589	BoulderCo Parks1
9590	BoulderCo Parks2
9542	Allenspark FD 1
9543	Allenspark FD 2
67	BCH - CMC ER
108	BCH - Foothills
9539	BVSD Security 1
9546	Boulder PD 3
9547	Boulder PD 4
9548	Boulder PD 5
9549	Boulder PD 6
9550	Boulder FD 3
9551	Boulder FD 4
9552	Boulder FD 5
9553	Boulder FD 6
9554	Boulder City Adm
9555	Boulder Tech Stf
9591	BVSD Security 2
9575	LafayettePD Tac2
64	Lafayette FG 1
63	Lafayette FG 2
72	Longmont United
9453	UCH Longs Peak
9515	Longmont PD 1
9516	Longmont PD Tac3
9517	Longmont PD Data
9518	Longmont PD Tac1
9519	Longmont PD Tac2
9520	Longmont PD SWAT
9521	Longmont PD Det
9522	Longmont FD 1
9523	Longmont FD 2
9524	LongmontFD Tac 1
9525	LongmontFD Tac 2
9526	LongmontFD Tac 3
9527	Longmont EOC
9528	Longmont Code
9529	Longmont Water 1
9530	Longmont Water 2
9531	Longmont Power
9532	Longmont PW
9533	Longmont Util
9534	Longmont Streets
9535	Longmont Trash
9536	Longmont Parks
9537	Longmont Fleet
9538	Longmont 9538
9561	Longmont PD SEU2
9565	Longmont LEU Ops
9587	Longmont Courts
66	Avista Hospital
110	Centennial Peaks
9563	LouisvillePD Tac
9578	Nederland FD
9111	Mtn View FD 9111
9112	Mtn View FD Adm
9113	Mtn View FD 1
9114	Mtn View FD 2
9540	Mtn View FD 3
9541	Mtn View FD 4
9650	UCB PD 1
9651	UCB PD 2
9652	UCB PD 3
9653	UCB PD Recrds
9654	UCB PD 911
9655	UCB PD CSO
9656	UCB PD Ops 1
9657	UCB PD Ops 2
9658	UCB PD Ops 3
9659	UCB PD Ops 4
9660	UCB PD Ops 5
9661	UCB Stadium FD
9662	UCB Stadium EMS
9663	UCB Stadium CMND
9664	UCB Shuttle
9665	UCB Mtn Research
8710	Chaffee Co MAC
8711	Chaffee Co PS
8719	Chaffee LE Tac 1
8723	Chaffee LE Tac 2
8729	Chaffee LE Tac 3
8718	Chaffee LE Sec 1
8722	Chaffee LE Sec 2
8728	Chaffee LE Sec 3
8725	Chaffee FD Disp
8716	Chaffee FD Tac 2
